Date,Price,Open,High,Low,Vol.,Change %,,459.25%,-398.54%,,,,,
10/24/2023,216.52,216.5,222.05,214.11,117.48M,2.09%,0.84%,2.09%,0.00%,,,,,0.84%
10/23/2023,212.08,210,216.98,202.51,149.25M,0.04%,0.83%,0.04%,0.00%,,,,,0.83%
10/20/2023,211.99,217.01,218.86,210.42,138.01M,-3.69%,0.82%,0.00%,-3.69%,,,,,0.82%
10/19/2023,220.11,225.95,230.61,216.78,169.09M,-9.30%,0.75%,0.00%,-9.30%,,,,,0.75%
10/18/2023,242.68,252.7,254.63,242.08,114.65M,-4.78%,0.74%,0.00%,-4.78%,,,,,0.74%
10/17/2023,254.85,250.1,257.18,247.08,93.30M,0.37%,0.72%,0.37%,0.00%,,,,,0.72%
10/16/2023,253.92,250.05,255.4,248.48,88.63M,1.12%,0.66%,1.12%,0.00%,,,,,0.66%
10/13/2023,251.12,258.9,259.6,250.22,102.30M,-2.99%,0.66%,0.00%,-2.99%,,,,,0.66%
10/12/2023,258.87,262.92,265.41,256.63,111.51M,-1.57%,0.60%,0.00%,-1.57%,,,,,0.60%
10/11/2023,262.99,266.2,268.6,260.9,103.39M,-0.24%,0.60%,0.00%,-0.24%,,,,,0.60%
10/10/2023,263.62,257.75,268.94,257.65,122.10M,1.52%,0.60%,1.52%,0.00%,,,,,0.60%
10/9/2023,259.67,255.31,261.36,252.05,101.38M,-0.33%,0.56%,0.00%,-0.33%,,,,,0.56%
10/6/2023,260.53,253.98,261.65,250.65,118.12M,0.18%,0.55%,0.18%,0.00%,,,,,0.55%
10/5/2023,260.05,260,263.6,256.25,118.78M,-0.43%,0.55%,0.00%,-0.43%,,,,,0.55%
10/4/2023,261.16,248.14,261.86,247.6,128.88M,5.93%,0.53%,5.93%,0.00%,,,,,0.53%
10/3/2023,246.53,248.61,250.02,244.45,101.52M,-2.02%,0.52%,0.00%,-2.02%,,,,,0.52%
10/2/2023,251.6,244.81,254.28,242.62,123.81M,0.55%,0.49%,0.55%,0.00%,,,,,0.49%
9/29/2023,250.22,250,254.77,246.35,128.52M,1.56%,0.49%,1.56%,0.00%,,,,,0.49%
9/28/2023,246.38,240.02,247.55,238.65,116.51M,2.44%,0.47%,2.44%,0.00%,,,,,0.47%
9/27/2023,240.5,244.26,245.33,234.58,136.06M,-1.48%,0.46%,0.00%,-1.48%,,,,,0.46%
9/26/2023,244.12,242.98,249.55,241.66,101.53M,-1.16%,0.46%,0.00%,-1.16%,,,,,0.46%
9/25/2023,246.99,243.38,247.1,238.31,104.09M,0.86%,0.38%,0.86%,0.00%,,,,,0.38%
9/22/2023,244.88,257.4,257.79,244.48,127.52M,-4.23%,0.38%,0.00%,-4.23%,,,,,0.38%
9/21/2023,255.7,257.85,260.86,254.21,119.13M,-2.62%,0.37%,0.00%,-2.62%,,,,,0.37%
9/20/2023,262.59,267.04,273.93,262.46,121.79M,-1.47%,0.37%,0.00%,-1.47%,,,,,0.37%
9/19/2023,266.5,264.35,267.85,261.2,103.16M,0.46%,0.37%,0.46%,0.00%,,,,,0.37%
9/18/2023,265.28,271.16,271.44,263.76,100.73M,-3.32%,0.35%,0.00%,-3.32%,,,,,0.35%
9/15/2023,274.39,277.55,278.98,271,133.69M,-0.60%,0.34%,0.00%,-0.60%,,,,,0.34%
9/14/2023,276.04,271.32,276.71,270.42,107.09M,1.75%,0.30%,1.75%,0.00%,,,,,0.30%
9/13/2023,271.3,270.07,274.98,268.1,111.17M,1.43%,0.30%,1.43%,0.00%,,,,,0.30%
9/12/2023,267.48,270.76,278.39,266.6,135.44M,-2.23%,0.28%,0.00%,-2.23%,,,,,0.28%
9/11/2023,273.58,264.27,274.85,260.61,173.39M,10.09%,0.27%,10.09%,0.00%,,,,,0.27%
9/8/2023,248.5,251.22,256.52,246.67,118.56M,-1.19%,0.27%,0.00%,-1.19%,,,,,0.27%
9/7/2023,251.49,245.07,252.81,243.26,114.03M,-0.17%,0.19%,0.00%,-0.17%,,,,,0.19%
9/6/2023,251.92,255.13,255.39,245.06,116.51M,-1.78%,0.18%,0.00%,-1.78%,,,,,0.18%
